Index,  Easting,  Northing,  Elevation,  X,  Y,  Deformation (mm),  Range (m)
0, 1969.98404048361, 855.39824847551, 10.5663142153562, 1, 59, 0.1393814, 2147.709
1, 1946.51286516221, 825.375164225715, 10.4019475098598, 2, 59, -31.27481, 2114.3
2, 2014.01997242101, 833.629913053409, 10.7239714383989, 3, 59, -10.81703, 2179.755
3, 1990.7722757594, 804.015288887625, 10.5629594741293, 4, 59, -6.336662, 2147.027
4, 2001.42227143162, 788.356674023892, 10.5830855192413, 5, 59, 30.72097, 2151.118
5, 1988.39972699931, 763.531107147316, 10.47909935133, 6, 59, -33.23253, 2129.982
6, 1998.08809001767, 747.589741610547, 10.4958706552151, 7, 59, -16.79189, 2133.391
7, 2024.30516431601, 737.60715811321, 10.599858024251, 8, 59, -18.06807, 2154.527
8, 2054.99503255041, 728.823554371294, 10.7273261796258, 9, 59, -24.6945, 2180.437
9, 277.775174279184, 95.8331802892621, 1.4456627027077, 10, 59, 2.483704, 293.8454
10, 277.943021304939, 93.2229246999502, 1.44230841190257, 11, 59, -21.61585, 293.1636
11, 286.51390398242, 93.3630124552633, 1.48256125282937, 12, 59, -21.47013, 301.3454
12, 338.660858088963, 107.141293878595, 1.74755998557254, 13, 59, 32.19837, 355.2091
13, 794.526181245234, 243.862318767077, 4.08894069782616, 14, 59, -27.7118, 831.1182
14, 795.941399762738, 236.822953855253, 4.08558625688045, 15, 59, -20.57827, 830.4363
15, 646.610934756643, 186.350895751834, 3.31071670432523, 16, 59, -16.61261, 672.9363
16, 517.497947923806, 144.330534048466, 2.64318836118934, 17, 59, 3.969429, 537.2545
17, 317.281657353694, 85.5548585263231, 1.61673783967381, 18, 59, 21.43725, 328.6182
18, 318.006005655236, 82.8218828436539, 1.61673783967381, 19, 59, -9.15461, 328.6182
19, 318.706813332946, 80.0827762113975, 1.61673783967381, 20, 59, -21.81667, 328.6182
20, 420.108240194539, 101.727761996376, 2.12660880962645, 21, 59, -9.983749, 432.2545
21, 401.047460606892, 93.4668909665607, 2.02597633195797, 22, 59, 13.03923, 411.8
22, 529.578647711532, 118.627573013731, 2.67002388875504, 23, 59, 17.67068, 542.7091
23, 531.912797942407, 114.353424156715, 2.6767324703653, 24, 59, -0.1287918, 544.0727
24, 538.219324942178, 110.873276432272, 2.70356799793101, 25, 59, -17.71769, 549.5273
25, 521.09173675483, 102.679493185282, 2.61299869295909, 26, 59, -20.19817, 531.1182
26, 513.24513615017, 96.5536563651167, 2.56939126094598, 27, 59, -36.50238, 522.2545
27, 538.888172594454, 96.5847628736558, 2.69350467509387, 28, 59, -34.59079, 547.4818
28, 527.600971614799, 89.8836415821097, 2.63312533863337, 29, 59, -55.72573, 535.2091
29, 605.086574224317, 97.7348534666875, 3.01552830335182, 30, 59, 2.985336, 612.9363
30, 568.161241220344, 86.7615268905775, 2.82768111179772, 31, 59, -18.93951, 574.7545
31, 684.962180975582, 98.5747385401988, 3.40464045024287, 32, 59, 2.594498, 692.0273
32, 740.514003798682, 100.074008746494, 3.67634776459629, 33, 59, -19.27403, 747.2545
33, 731.87765063004, 92.5022042789508, 3.62938619191864, 34, 59, -44.4238, 737.7091
34, 733.323510667384, 86.2815596195767, 3.63274033258318, 35, 59, -20.69373, 738.3909
