Index,  Easting,  Northing,  Elevation,  X,  Y,  Deformation (mm),  Range (m)
0, 122.294922019822, 74.225994665964, 42.7193711946806, 1, 73, -0.2958109, 149.3
1, 1781.82974531966, 1060.6010121107, 619.208475396794, 2, 73, -17.34448, 2164.073
2, 1790.88794468684, 1045.2330447185, 619.208475396794, 3, 73, -17.17744, 2164.073
3, 2313.56434531953, 1323.73716412976, 795.959453758833, 4, 73, -22.95052, 2781.8
4, 124.776253017494, 69.9745162105487, 42.7193711946806, 5, 73, -0.8938897, 149.3
5, 215.264244489059, 118.297492680268, 73.3483944332954, 6, 73, -1.759905, 256.3454
6, 2347.52931768773, 1263.90257792537, 796.15456218361, 7, 73, -21.97658, 2782.482
7, 127.118336113809, 67.0360047027198, 42.9144621554031, 8, 73, 0.06305313, 149.9818
8, 127.690329292398, 65.9399507737549, 42.9144621554031, 9, 73, 0.4049206, 149.9818
9, 128.252872174745, 64.8390166626142, 42.9144621554031, 10, 73, -1.07003, 149.9818
10, 128.220365950863, 63.4435496438596, 42.7193711946806, 11, 73, 0.1649284, 149.3
11, 2399.11921076813, 1161.50207582914, 795.959453758833, 12, 73, -22.31862, 2781.8
12, 129.883386224703, 61.5077498015579, 42.9144621554031, 13, 73, -1.076738, 149.9818
13, 130.40771862698, 60.38811327863, 42.9144621554031, 14, 73, -0.2372932, 149.9818
14, 1889.06618870534, 855.114426779504, 619.208475396794, 15, 73, -17.74529, 2164.073
15, 1896.3526603738, 838.831529980462, 619.208475396794, 16, 73, -18.3329, 2164.073
16, 131.322929757984, 56.7435842696394, 42.7193711946806, 17, 73, -0.5071964, 149.3
17, 473.701399622843, 199.864303054977, 153.530124388164, 18, 73, -3.625319, 536.5727
18, 181.211117834999, 74.6268117364817, 58.5216123988011, 19, 73, -1.022728, 204.5273
19, 133.349725416938, 53.5793620162993, 42.9144621554031, 20, 73, -0.116179, 149.9818
20, 2481.77246147018, 972.453345472349, 795.959453758833, 21, 73, -22.50859, 2781.8
21, 133.641503714282, 51.0440468710251, 42.7193711946806, 22, 73, -1.234397, 149.3
22, 134.68797717612, 50.1203163103675, 42.9144621554031, 23, 73, -0.09670448, 149.9818
23, 135.114168003643, 48.9597682544526, 42.9144621554031, 24, 73, -1.123744, 149.9818
24, 135.530359100401, 47.7955967110228, 42.9144621554031, 25, 73, -1.331509, 149.9818
25, 135.318546494266, 46.4159154888177, 42.7193711946806, 26, 73, 0.1971817, 149.3
26, 135.712845778347, 45.2500798532844, 42.7193711946806, 27, 73, -0.7871981, 149.3
27, 136.097101023825, 44.0808952823856, 42.7193711946806, 28, 73, -0.1939907, 149.3
28, 137.094521286575, 43.1044027455578, 42.9144621554031, 29, 73, 0.6669588, 149.9818
29, 137.460266578274, 41.9234113005625, 42.9144621554031, 30, 73, -0.9030666, 149.9818
30, 137.815838505648, 40.7393171252471, 42.9144621554031, 31, 73, -2.561337, 149.9818
31, 2562.55621807369, 733.597770473688, 795.959453758833, 32, 73, -21.56483, 2781.8
32, 138.496357759503, 38.3621713436291, 42.9144621554031, 33, 73, -0.09386826, 149.9818
33, 138.19016742344, 37.0003224778865, 42.7193711946806, 34, 73, -0.7703943, 149.3
34, 139.135877592334, 35.973669113078, 42.9144621554031, 35, 73, -0.6960862, 149.9818
35, 138.806302024998, 34.6172898149324, 42.7193711946806, 36, 73, -1.174743, 149.3
36, 2591.73152430448, 622.726075861972, 795.959453758833, 37, 73, -23.23318, 2781.8
37, 140.017872625244, 32.3711700181992, 42.9144621554031, 38, 73, -1.067255, 149.9818
38, 501.903561170379, 111.496954778071, 153.530124388164, 39, 73, -4.036426, 536.5727
39, 2606.93838231656, 555.636869220188, 795.959453758833, 40, 73, -23.8701, 2781.8
40, 2612.26211468453, 533.320042820211, 796.15456218361, 41, 73, -22.36417, 2782.482
41, 2616.11222204085, 510.702360794034, 795.959453758833, 42, 73, -22.8311, 2781.8
42, 140.638093057303, 26.2006300914943, 42.7193711946806, 43, 73, -0.3580513, 149.3
43, 2041.71182778842, 362.221700709682, 619.208475396794, 44, 73, -17.85042, 2164.073
44, 1722.64002079513, 290.351689643617, 521.663798382095, 45, 73, -13.66886, 1823.164
45, 2575.36216354931, 411.325775237665, 778.791588927696, 46, 73, -22.8596, 2721.8
46, 141.456260361425, 21.346490122423, 42.7193711946806, 47, 73, -1.349726, 149.3
47, 2638.97730002842, 375.045156703551, 795.959453758833, 48, 73, -23.04291, 2781.8
48, 2642.10608280682, 352.328691461994, 795.959453758833, 49, 73, -23.28058, 2781.8
49, 2635.31483088631, 328.374426236526, 793.033106812051, 50, 73, -23.42899, 2771.573
50, 142.755911884311, 16.5422768966396, 42.9144621554031, 51, 73, -0.5932641, 149.9818
51, 2650.31833172509, 284.029576195925, 795.959453758833, 52, 73, -22.68571, 2781.8
52, 143.019390868361, 14.083718915445, 42.9144621554031, 53, 73, -0.1577082, 149.9818
53, 2655.4635156548, 238.447354600687, 796.15456218361, 54, 73, -22.73767, 2782.482
54, 1051.62586626132, 85.317579695643, 315.064164990346, 55, 73, -7.775475, 1101.118
55, 2658.52127439029, 192.677692653677, 795.959453758833, 56, 73, -23.61888, 2781.8
56, 143.419268214387, 9.15482428536745, 42.9144621554031, 57, 73, -0.4111009, 149.9818
57, 2662.09516401478, 146.945437557521, 796.15456218361, 58, 73, -21.00943, 2782.482
58, 2071.34862400419, 96.4708558689666, 619.208475396794, 59, 73, -17.6689, 2164.073
59, 513.768906747037, 19.5004128224538, 153.530124388164, 60, 73, -4.229008, 536.5727
60, 2345.66860806285, 68.8287520430813, 700.755833344693, 61, 73, -19.81638, 2449.073
61, 2665.57477907561, 55.2695308994828, 796.15456218361, 62, 73, -20.84624, 2782.482
62, 2665.95161273084, 32.3360861526029, 796.15456218361, 63, 73, -22.19298, 2782.482
63, 2632.15910119873, 9.28046957280699, 786.009902082262, 64, 73, -20.80334, 2747.027
64, 2073.56719517806, -10.5278334700627, 619.208475396794, 65, 73, -17.44144, 2164.073
65, 2665.89824082586, -36.4718172214215, 796.15456218361, 66, 73, -22.67111, 2782.482
66, 143.022327581715, -3.18748319124943, 42.7193711946806, 67, 73, -0.5917516, 149.3
67, 2664.2230846243, -82.3129089942878, 795.959453758833, 68, 73, -22.18732, 2781.8
68, 2664.06924059266, -105.255428448488, 796.15456218361, 69, 73, -22.92004, 2782.482
69, 2663.06516627312, -128.169981167727, 796.15456218361, 70, 73, -22.84143, 2782.482
70, 513.312779219051, -29.1332512896571, 153.530124388164, 71, 73, -4.808472, 536.5727
71, 512.39123204141, -33.5054693921166, 153.335033427441, 72, 73, -4.362503, 535.8909
72, 512.735564227857, -37.9604638569244, 153.530124388164, 73, 73, -4.339035, 536.5727
73, 2066.54066805083, -170.884216615248, 619.208475396794, 74, 73, -17.74982, 2164.073
74, 2644.68068964132, -241.615544892726, 793.033106812051, 75, 73, -22.23479, 2771.573
75, 2652.25527759109, -265.333756092795, 795.959453758833, 76, 73, -24.0562, 2781.8
76, 2650.5240657479, -288.211382115755, 796.15456218361, 77, 73, -24.19064, 2782.482
77, 2059.43799110385, -241.882014615157, 619.208475396794, 78, 73, -17.87021, 2164.073
78, 2057.28092018318, -259.589991421861, 619.208475396794, 79, 73, -18.3121, 2164.073
79, 2495.8812296144, -336.771002471545, 752.064319413324, 80, 73, -20.5349, 2628.391
80, 2639.03903796154, -379.231565148374, 796.15456218361, 81, 73, -23.53062, 2782.482
81, 14.8372269378821, -2.26256234229721, 4.48185315293063, 82, 73, -0.02890015, 15.66364
82, 2632.12375420171, -424.579988290682, 796.15456218361, 83, 73, -23.30229, 2782.482
83, 2628.37377755558, -447.207903941828, 796.15456218361, 84, 73, -22.43954, 2782.482
84, 2623.78612447671, -469.687590463673, 795.959453758833, 85, 73, -24.10423, 2781.8
85, 2619.64840480427, -492.242109981001, 795.959453758833, 86, 73, -22.16805, 2781.8
86, 2615.31680628749, -514.760198910451, 795.959453758833, 87, 73, -23.42934, 2781.8
87, 2610.79164950576, -537.240190699731, 795.959453758833, 88, 73, -22.15182, 2781.8
88, 2606.71207935333, -559.817612480435, 796.15456218361, 89, 73, -22.08502, 2782.482
89, 2601.16201506605, -582.079230869483, 795.959453758833, 90, 73, -23.01202, 2781.8
90, 2586.51383536381, -602.212754072105, 793.033106812051, 91, 73, -22.57797, 2771.573
91, 2590.76235216976, -626.745956677745, 795.959453758833, 92, 73, -24.29669, 2781.8
92, 2585.27471324482, -649.010567470991, 795.959453758833, 93, 73, -22.81398, 2781.8
93, 2579.59573945494, -671.227145322657, 795.959453758833, 94, 73, -23.27678, 2781.8
94, 2564.26354149093, -690.844781029646, 793.033106812051, 95, 73, -23.47627, 2771.573
95, 495.898286518052, -138.187782394743, 153.725215348886, 96, 73, -5.002907, 537.2545
96, 2562.04294570597, -737.753053703001, 796.15456218361, 97, 73, -22.12531, 2782.482
97, 1011.33430460364, -300.664225219533, 315.064164990346, 98, 73, -7.747158, 1101.118
98, 491.542483063442, -150.747281846532, 153.530124388164, 99, 73, -2.726387, 536.5727
99, 1006.01169535944, -318.019686175279, 315.064164990346, 100, 73, -7.975861, 1101.118
100, 2535.14389915406, -825.462921318581, 796.15456218361, 101, 73, -22.80852, 2782.482
101, 1000.39127397259, -335.281002972879, 315.064164990346, 102, 73, -8.898663, 1101.118
102, 1651.54909618985, -569.366602285777, 521.663798382095, 103, 73, -15.74889, 1823.164
103, 1646.58983556732, -583.5534751249, 521.663798382095, 104, 73, -15.78462, 1823.164
104, 2505.24313497151, -912.195405912558, 796.15456218361, 105, 73, -23.00584, 2782.482
105, 1636.30610054812, -611.796608549742, 521.663798382095, 106, 73, -16.65408, 1823.164
106, 1630.98238724544, -625.850778875539, 521.663798382095, 107, 73, -15.27032, 1823.164
107, 1625.53796576689, -639.858630303916, 521.663798382095, 108, 73, -13.15836, 1823.164
108, 2472.37605692812, -997.84781255379, 796.15456218361, 109, 73, -24.91757, 2782.482
109, 2463.70028481419, -1019.08023751631, 796.15456218361, 110, 73, -22.97319, 2782.482
110, 2454.2405832776, -1039.98231668875, 795.959453758833, 111, 73, -23.0584, 2781.8
111, 2445.20300766386, -1061.05716667093, 795.959453758833, 112, 73, -24.0233, 2781.8
112, 1596.51964958198, -709.166943266958, 521.663798382095, 113, 73, -13.17608, 1823.164
113, 1590.3597513142, -722.875235655371, 521.663798382095, 114, 73, -13.82276, 1823.164
114, 465.616533827911, -216.491650135016, 153.335033427441, 115, 73, -4.752579, 535.8909
115, 2119.32204625432, -1007.65702509322, 700.755833344693, 116, 73, -19.07764, 2449.073
116, 14.0862733487763, -6.84667907583784, 4.67694274927379, 117, 73, -0.8602943, 16.34546
117, 460.459828277295, -228.725823166375, 153.530124388164, 118, 73, -4.264681, 536.5727
118, 2376.91200558199, -1206.29572549698, 795.959453758833, 119, 73, -24.63084, 2781.8
119, 1550.94518969893, -803.966270109463, 521.663798382095, 120, 73, -14.63691, 1823.164
120, 2313.07774828888, -1224.39430612056, 781.522827449701, 121, 73, -22.76042, 2731.345
121, 2344.99095067968, -1267.23222057462, 795.959453758833, 122, 73, -21.71431, 2781.8
122, 2334.57455197555, -1287.67437077779, 796.15456218361, 123, 73, -24.84747, 2782.482
123, 448.045554507858, -252.178382749272, 153.530124388164, 124, 73, -4.115513, 536.5727
